scene,pair,num_matches,inlier_count,inlier_ratio,reproj_error,status
sculpture,frame_171-frame_172,1273,605,0.475,0.608,OK
sculpture,frame_172-frame_173,1291,594,0.46,0.372,OK
sculpture,frame_173-frame_174,1504,666,0.443,0.611,OK
sculpture,frame_174-frame_175,1253,537,0.429,0.609,OK
sculpture,frame_175-frame_176,1151,543,0.472,0.797,OK
sculpture,frame_176-frame_177,1298,582,0.448,0.498,OK
sculpture,frame_177-frame_178,1230,581,0.472,0.556,OK
sculpture,frame_178-frame_179,1221,570,0.467,0.673,OK
sculpture,frame_179-frame_180,1235,605,0.49,0.44,OK
sculpture,frame_180-frame_181,1277,602,0.471,0.556,OK
sculpture,frame_181-frame_182,1287,603,0.469,0.611,OK
sculpture,frame_182-frame_183,1435,654,0.456,0.692,OK
sculpture,frame_183-frame_184,1175,492,0.419,0.571,OK
sculpture,frame_184-frame_185,1273,591,0.464,0.619,OK
sculpture,frame_185-frame_186,1313,630,0.48,0.455,OK
sculpture,frame_186-frame_187,1373,665,0.484,0.381,OK
sculpture,frame_187-frame_188,1301,605,0.465,0.319,OK
sculpture,frame_188-frame_189,1475,671,0.455,0.43,OK
sculpture,frame_189-frame_190,1524,741,0.486,0.466,OK
sculpture,frame_190-frame_191,1220,576,0.472,0.453,OK
sculpture,frame_191-frame_192,1284,658,0.512,0.426,OK
sculpture,frame_192-frame_193,1363,725,0.532,0.545,OK
sculpture,frame_193-frame_194,1382,724,0.524,0.517,OK
sculpture,frame_194-frame_195,1316,632,0.48,0.682,OK
sculpture,frame_195-frame_196,1569,769,0.49,0.607,OK
sculpture,frame_196-frame_197,1415,652,0.461,0.816,OK
sculpture,frame_197-frame_198,1409,576,0.409,0.551,OK
sculpture,frame_198-frame_199,1391,623,0.448,0.374,OK
sculpture,frame_199-frame_200,1316,577,0.438,0.471,OK
sculpture,frame_200-frame_201,1226,555,0.453,0.678,OK
sculpture,frame_201-frame_202,1335,612,0.458,0.494,OK
sculpture,frame_202-frame_203,1327,584,0.44,0.628,OK
sculpture,frame_203-frame_204,1222,615,0.503,0.429,OK
sculpture,frame_204-frame_205,1327,651,0.491,0.332,OK
sculpture,frame_205-frame_206,1488,721,0.485,0.658,OK
sculpture,frame_206-frame_207,1346,675,0.501,0.351,OK
sculpture,frame_207-frame_208,1167,539,0.462,0.691,OK
sculpture,frame_208-frame_209,1233,535,0.434,0.538,OK
sculpture,frame_209-frame_210,1293,599,0.463,0.566,OK
sculpture,frame_210-frame_211,1226,596,0.486,0.469,OK
sculpture,frame_211-frame_212,1172,602,0.514,0.494,OK
sculpture,frame_212-frame_213,1367,681,0.498,0.569,OK
sculpture,frame_213-frame_214,1249,595,0.476,0.545,OK
sculpture,frame_214-frame_215,1329,615,0.463,0.562,OK
sculpture,frame_215-frame_216,1400,666,0.476,0.408,OK
sculpture,frame_216-frame_217,1301,696,0.535,0.378,OK
sculpture,frame_217-frame_218,1639,711,0.434,0.602,OK
